Library;Function
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZStlsISt11char_traitsIcEERSt13basic_ostreamIcT_ES5_PKc@GLIBCXX_3.4
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZStrsIcSt11char_traitsIcESaIcEERSt13basic_istreamIT_T0_ES7_RNSt7__cxx1112basic_stringIS4_S5_T1_EE@GLIBCXX_3.4.21
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZdlPvm@CXXABI_1.3.9
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZdlPvmSt11align_val_t@CXXABI_1.3.11
/lib/x86_64-linux-gnu/libstdc++.so.6;_Znwm@GLIBCXX_3.4
/lib/x86_64-linux-gnu/libstdc++.so.6;__cxa_begin_catch@CXXABI_1.3
/lib/x86_64-linux-gnu/libstdc++.so.6;__cxa_end_catch@CXXABI_1.3
/lib/x86_64-linux-gnu/libstdc++.so.6;__cxa_guard_acquire@CXXABI_1.3
/lib/x86_64-linux-gnu/libstdc++.so.6;__cxa_guard_release@CXXABI_1.3
/lib/x86_64-linux-gnu/libstdc++.so.6;__cxa_rethrow@CXXABI_1.3
/lib/x86_64-linux-gnu/libstdc++.so.6;__cxa_thread_atexit@CXXABI_1.3.7
/lib/x86_64-linux-gnu/libstdc++.so.6;__dynamic_cast@CXXABI_1.3
/lib/x86_64-linux-gnu/libstdc++.so.6;__gxx_personality_v0@CXXABI_1.3
/lib/x86_64-linux-gnu/libstdc++.so.6;exit@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libstdc++.so.6;free@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libm.so.6;feclearexcept@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libm.so.6;fesetround@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libm.so.6;fetestexcept@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libm.so.6;frexp@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libm.so.6;ldexp@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libm.so.6;log2@GLIBC_2.29
/lib/x86_64-linux-gnu/libm.so.6;round@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libm.so.6;sqrt@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libc.so.6;__cxa_atexit@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libc.so.6;__cxa_thread_atexit@CXXABI_1.3.7
/lib/x86_64-linux-gnu/libc.so.6;__fprintf_chk@GLIBC_2.3.4
/lib/x86_64-linux-gnu/libc.so.6;__isoc23_fscanf@GLIBC_2.38
/lib/x86_64-linux-gnu/libc.so.6;__isoc23_sscanf@GLIBC_2.38
/lib/x86_64-linux-gnu/libc.so.6;__libc_start_main@GLIBC_2.34
/lib/x86_64-linux-gnu/libc.so.6;__stack_chk_fail@GLIBC_2.4
/lib/x86_64-linux-gnu/libc.so.6;exit@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libc.so.6;fclose@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libc.so.6;feof@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libc.so.6;fgets@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libc.so.6;fopen@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libc.so.6;fputc@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libc.so.6;fread@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libc.so.6;free@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libc.so.6;frexp@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libc.so.6;fwrite@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libc.so.6;ldexp@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libc.so.6;malloc@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libc.so.6;memcpy@GLIBC_2.14
