Library;Function
/lib/x86_64-linux-gnu/libQt6Charts.so.6;_ZN14QScatterSeriesC1EP7QObject
/lib/x86_64-linux-gnu/libQt6Charts.so.6;_ZN15QAbstractSeries10attachAxisEP13QAbstractAxis
/lib/x86_64-linux-gnu/libQt6Charts.so.6;_ZN15QAbstractSeries10setVisibleEb
/lib/x86_64-linux-gnu/libQt6Charts.so.6;_ZN15QAbstractSeries4hideEv
/lib/x86_64-linux-gnu/libQt6Charts.so.6;_ZN15QAbstractSeries4showEv
/lib/x86_64-linux-gnu/libQt6Charts.so.6;_ZN15QAbstractSeries7setNameERK7QString
/lib/x86_64-linux-gnu/libQt6Charts.so.6;_ZN6QChart10mapToValueERK7QPointFP15QAbstractSeries
/lib/x86_64-linux-gnu/libQt6Charts.so.6;_ZN6QChart10removeAxisEP13QAbstractAxis
/lib/x86_64-linux-gnu/libQt6Charts.so.6;_ZN6QChart15removeAllSeriesEv
/lib/x86_64-linux-gnu/libQt6Charts.so.6;_ZN6QChart17createDefaultAxesEv
/lib/x86_64-linux-gnu/libQt6Charts.so.6;_ZN6QChart7addAxisEP13QAbstractAxis6QFlagsIN2Qt13AlignmentFlagEE
/lib/x86_64-linux-gnu/libQt6Charts.so.6;_ZN6QChart8setTitleERK7QString
/lib/x86_64-linux-gnu/libQt6Charts.so.6;_ZN6QChart9addSeriesEP15QAbstractSeries
/lib/x86_64-linux-gnu/libQt6Charts.so.6;_ZN6QChartC1EP13QGraphicsItem6QFlagsIN2Qt10WindowTypeEE
/lib/x86_64-linux-gnu/libQt6Charts.so.6;_ZN7QLegend12setAlignmentE6QFlagsIN2Qt13AlignmentFlagEE
/lib/x86_64-linux-gnu/libQt6Charts.so.6;_ZN9QXYSeries13setMarkerSizeEd
/lib/x86_64-linux-gnu/libQt6Charts.so.6;_ZN9QXYSeries16setPointsVisibleEb
/lib/x86_64-linux-gnu/libQt6Charts.so.6;_ZN9QXYSeries6appendEdd
/lib/x86_64-linux-gnu/libQt6Charts.so.6;_ZN9QXYSeries7replaceERK5QListI7QPointFE
/lib/x86_64-linux-gnu/libQt6Charts.so.6;_ZNK10QChartView5chartEv
/lib/x86_64-linux-gnu/libQt6Charts.so.6;_ZNK10QValueAxis11labelFormatEv
/lib/x86_64-linux-gnu/libQt6Charts.so.6;_ZNK10QValueAxis14minorTickCountEv
/lib/x86_64-linux-gnu/libQt6Charts.so.6;_ZNK13QAbstractAxis9titleTextEv
/lib/x86_64-linux-gnu/libQt6Charts.so.6;_ZNK14QScatterSeries10markerSizeEv
/lib/x86_64-linux-gnu/libQt6Charts.so.6;_ZNK15QAbstractSeries4nameEv
/lib/x86_64-linux-gnu/libQt6Charts.so.6;_ZNK15QAbstractSeries9isVisibleEv
/lib/x86_64-linux-gnu/libQt6Charts.so.6;_ZNK6QChart4axesE6QFlagsIN2Qt11OrientationEEP15QAbstractSeries
/lib/x86_64-linux-gnu/libQt6Charts.so.6;_ZNK6QChart5axisXEP15QAbstractSeries
/lib/x86_64-linux-gnu/libQt6Charts.so.6;_ZNK6QChart5axisYEP15QAbstractSeries
/lib/x86_64-linux-gnu/libQt6Charts.so.6;_ZNK6QChart5titleEv
/lib/x86_64-linux-gnu/libQt6Charts.so.6;_ZNK6QChart6legendEv
/lib/x86_64-linux-gnu/libQt6Charts.so.6;_ZNK6QChart6seriesEv
/lib/x86_64-linux-gnu/libQt6Charts.so.6;_ZNK9QXYSeries13pointsVisibleEv
/lib/x86_64-linux-gnu/libQt6Charts.so.6;_ZNK9QXYSeries2atEi
/lib/x86_64-linux-gnu/libQt6Charts.so.6;_ZNK9QXYSeries3penEv
/lib/x86_64-linux-gnu/libQt6Charts.so.6;_ZNK9QXYSeries5countEv
/lib/x86_64-linux-gnu/libQt6Charts.so.6;_ZNK9QXYSeries6pointsEv
/lib/x86_64-linux-gnu/libQt6Charts.so.6;asin@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libQt6Charts.so.6;exp@GLIBC_2.29
/lib/x86_64-linux-gnu/libQt6Charts.so.6;round@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libQt6Charts.so.6;sin@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libGLdispatch.so.0;read@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libbz2.so.1.0;read@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libbz2.so.1.0;write@GLIBC_2.2.5
/lib/x86_64-linux-gnu/liblzma.so.5;free@GLIBC_2.2.5
/lib/x86_64-linux-gnu/liblzma.so.5;read@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libX11.so.6;malloc@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libX11.so.6;read@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libX11.so.6;round@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libX11.so.6;sin@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libbsd.so.0;calloc@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libbsd.so.0;exp@GLIBC_2.29
/lib/x86_64-linux-gnu/libbsd.so.0;free@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libbsd.so.0;rand@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libbsd.so.0;read@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libbsd.so.0;realloc@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libbsd.so.0;write@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libm.so.6;acos@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libm.so.6;asin@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libm.so.6;cos@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libm.so.6;exp@GLIBC_2.29
/lib/x86_64-linux-gnu/libm.so.6;frexp@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libm.so.6;ldexp@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libm.so.6;log@GLIBC_2.29
/lib/x86_64-linux-gnu/libm.so.6;raise@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libm.so.6;round@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libm.so.6;roundf@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libm.so.6;sin@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libm.so.6;sqrt@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libGL.so.1;glBindTexture
/lib/x86_64-linux-gnu/libGL.so.1;glBlendFunc
/lib/x86_64-linux-gnu/libGL.so.1;glClear
/lib/x86_64-linux-gnu/libGL.so.1;glClearColor
/lib/x86_64-linux-gnu/libGL.so.1;glColor3f
/lib/x86_64-linux-gnu/libGL.so.1;glColorMaterial
/lib/x86_64-linux-gnu/libGL.so.1;glColorPointer
/lib/x86_64-linux-gnu/libGL.so.1;glDepthFunc
/lib/x86_64-linux-gnu/libGL.so.1;glDisable
/lib/x86_64-linux-gnu/libGL.so.1;glDisableClientState
/lib/x86_64-linux-gnu/libGL.so.1;glDrawArrays
/lib/x86_64-linux-gnu/libGL.so.1;glDrawElements
/lib/x86_64-linux-gnu/libGL.so.1;glEnable
/lib/x86_64-linux-gnu/libGL.so.1;glEnableClientState
/lib/x86_64-linux-gnu/libGL.so.1;glGetDoublev
/lib/x86_64-linux-gnu/libGL.so.1;glHint
/lib/x86_64-linux-gnu/libGL.so.1;glLightModeli
/lib/x86_64-linux-gnu/libGL.so.1;glLineWidth
/lib/x86_64-linux-gnu/libGL.so.1;glLoadIdentity
/lib/x86_64-linux-gnu/libGL.so.1;glMaterialf
/lib/x86_64-linux-gnu/libGL.so.1;glMaterialfv
/lib/x86_64-linux-gnu/libGL.so.1;glMatrixMode
/lib/x86_64-linux-gnu/libGL.so.1;glMultMatrixd
/lib/x86_64-linux-gnu/libGL.so.1;glNormalPointer
/lib/x86_64-linux-gnu/libGL.so.1;glOrtho
/lib/x86_64-linux-gnu/libGL.so.1;glPointSize
/lib/x86_64-linux-gnu/libGL.so.1;glPolygonMode
/lib/x86_64-linux-gnu/libGL.so.1;glPolygonOffset
/lib/x86_64-linux-gnu/libGL.so.1;glPopAttrib
/lib/x86_64-linux-gnu/libGL.so.1;glPopMatrix
/lib/x86_64-linux-gnu/libGL.so.1;glPushAttrib
/lib/x86_64-linux-gnu/libGL.so.1;glPushMatrix
/lib/x86_64-linux-gnu/libGL.so.1;glRotated
/lib/x86_64-linux-gnu/libGL.so.1;glShadeModel
/lib/x86_64-linux-gnu/libGL.so.1;glTexCoordPointer
/lib/x86_64-linux-gnu/libGL.so.1;glTranslated
/lib/x86_64-linux-gnu/libGL.so.1;glTranslatef
/lib/x86_64-linux-gnu/libGL.so.1;glVertexPointer
/lib/x86_64-linux-gnu/libGL.so.1;glViewport
/lib/x86_64-linux-gnu/libGL.so.1;read@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libpcre2-16.so.0;free@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libglib-2.0.so.0;exit@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libglib-2.0.so.0;exp@GLIBC_2.29
/lib/x86_64-linux-gnu/libglib-2.0.so.0;fopen@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libglib-2.0.so.0;fprintf@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libglib-2.0.so.0;free@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libglib-2.0.so.0;log@GLIBC_2.29
/lib/x86_64-linux-gnu/libglib-2.0.so.0;malloc@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libglib-2.0.so.0;printf@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libglib-2.0.so.0;rand@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libglib-2.0.so.0;read@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libglib-2.0.so.0;realloc@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libglib-2.0.so.0;sin@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libglib-2.0.so.0;stderr@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libglib-2.0.so.0;strchr@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libglib-2.0.so.0;strcmp@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libglib-2.0.so.0;strdup@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libglib-2.0.so.0;strftime@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libglib-2.0.so.0;strlen@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libglib-2.0.so.0;strncpy@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libglib-2.0.so.0;strrchr@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libglib-2.0.so.0;strtod@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libglib-2.0.so.0;strtoll@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libglib-2.0.so.0;system@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libglib-2.0.so.0;vsnprintf@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libglib-2.0.so.0;write@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libicui18n.so.74;cos@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libicui18n.so.74;exit@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libicui18n.so.74;exp@GLIBC_2.29
/lib/x86_64-linux-gnu/libicui18n.so.74;free@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libicui18n.so.74;log@GLIBC_2.29
/lib/x86_64-linux-gnu/libicui18n.so.74;rand@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libicui18n.so.74;read@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libicui18n.so.74;realloc@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libicui18n.so.74;round@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libicui18n.so.74;sin@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libicui18n.so.74;write@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libexpat.so.1;sin@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZNKSt10filesystem7__cxx1118directory_iteratordeEv@GLIBCXX_3.4.26
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZNKSt10filesystem7__cxx114path5_List13_Impl_deleterclEPNS2_5_ImplE@GLIBCXX_3.4.26
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZNKSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE12find_last_ofEPKcm@GLIBCXX_3.4.21
