Library;# Unused Functions;% Unused Functions;# Total Functions;Direct
/lib/x86_64-linux-gnu/libm.so.6;1085;98,9963503649635%;1096;1
/lib/x86_64-linux-gnu/libtbb.so.12;73;79,34782608695652%;92;1
/lib/x86_64-linux-gnu/libgcc_s.so.1;181;99,45054945054946%;182;1
/lib/x86_64-linux-gnu/libc.so.6;2838;98,9539748953975%;2868;1
/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2;22;95,65217391304348%;23;0
/lib/x86_64-linux-gnu/libstdc++.so.6;4515;98,73168598294336%;4573;1
