Library;# Unused Functions;% Unused Functions
/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2;22;95,65217391304348%
/lib/x86_64-linux-gnu/libc.so.6;2122;98,8816402609506%
/lib/x86_64-linux-gnu/libstdc++.so.6;1396;98,5179957657022%
/lib/x86_64-linux-gnu/libgcc_s.so.1;180;98,9010989010989%
/lib/x86_64-linux-gnu/libm.so.6;195;97,98994974874373%
