Library;# Unused Functions;% Unused Functions;# Total Functions
/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2;22;95,65217391304348%;23
/lib/x86_64-linux-gnu/libm.so.6;194;97,48743718592965%;199
/lib/x86_64-linux-gnu/libstdc++.so.6;1383;97,60056457304164%;1417
/lib/x86_64-linux-gnu/libgcc_s.so.1;181;99,45054945054946%;182
/lib/x86_64-linux-gnu/libc.so.6;2120;98,78844361602982%;2146
/lib/x86_64-linux-gnu/libtbb.so.12;73;79,34782608695652%;92
