Library;# Unused Functions;% Unused Functions;# Total Functions
/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2;22;95,65217391304348%;23
/lib/x86_64-linux-gnu/libm.so.6;199;100,0%;199
/lib/x86_64-linux-gnu/libstdc++.so.6;1350;95,27170077628794%;1417
/lib/x86_64-linux-gnu/libgcc_s.so.1;181;99,45054945054946%;182
/lib/x86_64-linux-gnu/libc.so.6;2094;97,57688723205965%;2146
